LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	No
Time_Pref	Relative
Operator	ltxuser
Date	2025/09/02
Time	10:31:57.3896665573120117187
***End_of_Header***	
	
Channels	17																	
Samples	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	
Date	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	
Time	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	
***End_of_Header***																		
X_Value	Untitled	Untitled 1	Untitled 2	Untitled 3	Untitled 4	Untitled 5	Untitled 6	Untitled 7	Untitled 8	Untitled 9	Untitled 10	Untitled 11	Untitled 12	Untitled 13	Untitled 14	Untitled 15	Untitled 16	Comment
	2.831614	2.477999	2.141147	1.776574	1.407488	1.029054	0.693814	0.335044	-0.399259	-0.774469	-1.141298	-1.509417	-1.883338	-2.240175	-2.602170	-2.941279	-3.871251
	2.836771	2.485413	2.135667	1.775284	1.406521	1.039369	0.714445	0.337945	-0.399581	-0.774469	-1.132595	-1.508772	-1.857228	-2.242109	-2.602170	-2.933220	-3.724260
	2.833870	2.483479	2.135990	1.768837	1.406843	1.038402	0.691880	0.338912	-0.404416	-0.775758	-1.130661	-1.505871	-1.881081	-2.237919	-2.602170	-2.941279	-2.973836
	2.832259	2.478644	2.138246	1.786889	1.406198	1.036468	0.690269	0.333755	-0.400871	-0.770601	-1.134529	-1.513930	-1.862063	-2.233083	-2.603459	-2.939667	-1.939748
	2.832259	2.486380	2.138569	1.781731	1.406521	1.031955	0.685756	0.340201	-0.399259	-0.773824	-1.130016	-1.508450	-1.874635	-2.230182	-2.598946	-2.939989	-0.997532
	2.834837	2.482512	2.135345	1.780764	1.404587	1.041303	0.691236	0.336011	-0.399904	-0.773179	-1.142910	-1.508772	-1.865287	-2.238563	-2.603782	-2.950627	-0.421823
	2.829357	2.484769	2.137924	1.767548	1.404587	1.039046	0.687045	0.333110	-0.400226	-0.773824	-1.132595	-1.514574	-1.871733	-2.246944	-2.605716	-2.945469	0.286047
	2.828713	2.487347	2.136957	1.770449	1.405876	1.038079	0.682210	0.332787	-0.401515	-0.774147	-1.130661	-1.518442	-1.869155	-2.234373	-2.603137	-2.938700	1.222139
	2.827423	2.477032	2.138569	1.783021	1.403942	1.031633	0.688657	0.336978	-0.400226	-0.771890	-1.144521	-1.506838	-1.861418	-2.239530	-2.600881	-2.917425	1.797204
	2.830325	2.479611	2.138246	1.767226	1.404587	1.035178	0.704129	0.330531	-0.401838	-0.774469	-1.129049	-1.512640	-1.850781	-2.244365	-2.602815	-2.937733	2.030905
	2.832259	2.484769	2.137279	1.775607	1.402975	1.035178	0.721214	0.326985	-0.398292	-0.773824	-1.138719	-1.506193	-1.871733	-2.238563	-2.603137	-2.929674	2.404827
	2.829680	2.471875	2.135990	1.777863	1.403942	1.025508	0.710254	0.336011	-0.397647	-0.773824	-1.155481	-1.497490	-1.864642	-2.241787	-2.603137	-2.931931	3.211661
