1.777	-0.269	0.291	-4.485	-5.000	-4.793	-1.871	-4.333	-2.551	0.021	5.000	5.000	0.078	-2.339	5.000	5.000	-0.240
1.774	-0.302	0.539	-4.326	-5.000	-4.871	-1.718	-4.481	-2.812	0.029	5.000	5.000	-0.185	-2.516	5.000	5.000	3.570
1.774	-0.301	0.541	-4.315	-5.000	-4.867	-1.720	-4.497	-2.769	0.035	5.000	5.000	-0.222	-2.542	5.000	5.000	4.568
1.775	-0.299	0.544	-4.314	-5.000	-4.865	-1.719	-4.499	-2.752	0.036	5.000	5.000	-0.242	-2.546	5.000	5.000	4.770
1.775	-0.300	0.546	-4.312	-5.000	-4.865	-1.719	-4.499	-2.748	0.035	5.000	5.000	-0.252	-2.551	5.000	5.000	4.839
1.774	-0.300	0.546	-4.314	-5.000	-4.864	-1.718	-4.498	-2.747	0.036	5.000	5.000	-0.258	-2.552	5.000	5.000	4.871
1.773	-0.301	0.549	-4.314	-5.000	-4.865	-1.719	-4.498	-2.745	0.036	5.000	5.000	-0.262	-2.556	5.000	5.000	4.888
1.774	-0.302	0.551	-4.313	-5.000	-4.865	-1.718	-4.500	-2.744	0.038	5.000	5.000	-0.263	-2.556	5.000	5.000	4.904
1.775	-0.302	0.552	-4.312	-5.000	-4.867	-1.715	-4.502	-2.745	0.038	5.000	5.000	-0.262	-2.556	5.000	5.000	4.922
1.774	-0.305	0.550	-4.312	-5.000	-4.867	-1.714	-4.505	-2.744	0.038	5.000	5.000	-0.263	-2.555	5.000	5.000	4.934
1.775	-0.308	0.551	-4.312	-5.000	-4.869	-1.715	-4.507	-2.744	0.037	5.000	5.000	-0.263	-2.556	5.000	5.000	4.943
1.775	-0.312	0.551	-4.312	-5.000	-4.870	-1.713	-4.507	-2.745	0.038	5.000	5.000	-0.265	-2.557	5.000	5.000	4.951
1.773	-0.314	0.551	-4.311	-5.000	-4.869	-1.712	-4.507	-2.744	0.037	5.000	5.000	-0.264	-2.558	5.000	5.000	4.955
1.774	-0.313	0.551	-4.312	-5.000	-4.870	-1.712	-4.507	-2.742	0.038	5.000	5.000	-0.266	-2.558	5.000	5.000	4.960
1.774	-0.314	0.552	-4.309	-5.000	-4.872	-1.710	-4.512	-2.745	0.038	5.000	5.000	-0.266	-2.556	5.000	5.000	4.970
1.774	-0.314	0.553	-4.310	-5.000	-4.871	-1.711	-4.512	-2.743	0.038	5.000	5.000	-0.265	-2.557	5.000	5.000	4.973
1.774	-0.313	0.550	-4.314	-5.000	-4.872	-1.712	-4.510	-2.743	0.037	5.000	5.000	-0.267	-2.559	5.000	5.000	4.969
1.776	-0.313	0.551	-4.316	-5.000	-4.871	-1.714	-4.511	-2.743	0.038	5.000	5.000	-0.267	-2.559	5.000	5.000	4.966
1.774	-0.314	0.551	-4.317	-5.000	-4.871	-1.714	-4.510	-2.744	0.038	5.000	5.000	-0.266	-2.559	5.000	5.000	4.963
1.774	-0.313	0.549	-4.321	-5.000	-4.871	-1.715	-4.510	-2.745	0.038	5.000	5.000	-0.267	-2.560	5.000	5.000	4.961
1.773	-0.314	0.551	-4.322	-5.000	-4.871	-1.715	-4.510	-2.744	0.038	5.000	5.000	-0.267	-2.559	5.000	5.000	4.961
1.775	-0.314	0.551	-4.322	-5.000	-4.872	-1.714	-4.510	-2.743	0.038	5.000	5.000	-0.267	-2.560	5.000	5.000	4.962
1.776	-0.313	0.551	-4.322	-5.000	-4.871	-1.715	-4.509	-2.746	0.038	5.000	5.000	-0.270	-2.563	5.000	5.000	4.956
3.022	-0.022	0.534	-4.338	-5.000	-4.865	-1.716	-4.501	-2.743	0.036	5.000	5.000	-0.263	-2.561	5.000	5.000	4.953
3.014	-0.021	0.529	-4.336	-5.000	-4.862	-1.714	-4.503	-2.743	0.038	5.000	5.000	-0.265	-2.560	5.000	5.000	4.957
